order_id,order_date,customer_id,product,category,quantity,unit_price,country,revenue,year,month,month_name
168268,2022-01-01,2095,Headphones,Electronics,2.0,954.91,UK,1909.82,2022,1,Jan
143567,2022-01-02,2110,Headphones,Electronics,1.0,393.19,USA,393.19,2022,1,Jan
142613,2022-01-03,2210,Headphones,Electronics,2.0,103.57,France,207.14,2022,1,Jan
145891,2022-01-04,2132,Bag,Unknown,2.0,1047.48,Nigeria,2094.96,2022,1,Jan
121243,2022-01-05,2028,Shoes,Electronics,1.0,887.05,Germany,887.05,2022,1,Jan
195939,2022-01-06,2193,Headphones,Electronics,2.0,518.03,Germany,1036.06,2022,1,Jan
197639,2022-01-07,2049,Phone,Electronics,2.0,1109.06,Unknown,2218.12,2022,1,Jan
141993,2022-01-08,2057,Laptop,Fashion,3.0,62.91,Germany,188.73,2022,1,Jan
186293,2022-01-09,2208,Phone,Unknown,1.0,1279.17,Nigeria,1279.17,2022,1,Jan
155026,2022-01-10,2041,Shoes,Fashion,2.0,290.03,France,580.06,2022,1,Jan
180471,2022-01-11,2240,Phone,Electronics,2.0,54.52,Germany,109.04,2022,1,Jan
180966,2022-01-12,2194,Bag,Electronics,2.0,1338.42,Germany,2676.84,2022,1,Jan
148600,2022-01-13,2273,Unknown,Electronics,3.0,928.8,USA,2786.3999999999996,2022,1,Jan
139512,2022-01-14,2020,Phone,Fashion,3.0,191.02,USA,573.0600000000001,2022,1,Jan
152620,2022-01-15,2166,Bag,Electronics,2.0,943.25,USA,1886.5,2022,1,Jan
180186,2022-01-16,2134,Bag,Fashion,1.0,1334.11,USA,1334.11,2022,1,Jan
117089,2022-01-17,2236,Headphones,Electronics,1.0,879.66,France,879.66,2022,1,Jan
132230,2022-01-18,2150,Bag,Fashion,1.0,1127.83,Germany,1127.83,2022,1,Jan
118983,2022-01-19,2079,Phone,Fashion,1.0,1344.0,UK,1344.0,2022,1,Jan
189688,2022-01-20,2074,Phone,Fashion,2.0,1374.58,France,2749.16,2022,1,Jan
182457,2022-01-21,2162,Headphones,Accessories,4.0,218.04,USA,872.16,2022,1,Jan
193005,2022-01-22,2168,Headphones,Electronics,1.0,1133.28,USA,1133.28,2022,1,Jan
106921,2022-01-23,2166,Shoes,Fashion,2.0,1288.05,UK,2576.1,2022,1,Jan
138804,2022-01-24,2149,Headphones,Electronics,4.0,1474.74,France,5898.96,2022,1,Jan
167699,2022-01-25,2290,Watch,Fashion,4.0,1296.65,USA,5186.6,2022,1,Jan
170608,2022-01-26,2160,Shoes,Electronics,2.0,1025.96,Nigeria,2051.92,2022,1,Jan
137619,2022-01-27,2099,Unknown,Fashion,2.0,415.54,France,831.08,2022,1,Jan
107877,2022-01-28,2297,Headphones,Electronics,2.0,470.62,Germany,941.24,2022,1,Jan
183966,2022-01-29,2249,Unknown,Electronics,1.0,1186.31,UK,1186.31,2022,1,Jan
101871,2022-01-30,2251,Bag,Electronics,2.0,624.48,Nigeria,1248.96,2022,1,Jan
173135,2022-01-31,2138,Bag,Fashion,2.0,1275.45,UK,2550.9,2022,1,Jan
102496,2022-02-01,2273,Shoes,Unknown,2.0,708.98,USA,1417.96,2022,2,Feb
147954,2022-02-02,2259,Watch,Fashion,4.0,1000.24,USA,4000.96,2022,2,Feb
124675,2022-02-03,2101,Laptop,Fashion,2.0,1433.63,Unknown,2867.26,2022,2,Feb
131921,2022-02-04,2094,Bag,Electronics,1.0,322.37,Germany,322.37,2022,2,Feb
199059,2022-02-05,2285,Bag,Fashion,2.0,436.3,USA,872.6,2022,2,Feb
100797,2022-02-06,2102,Watch,Accessories,2.0,677.61,USA,1355.22,2022,2,Feb
149811,2022-02-07,2123,Watch,Accessories,2.0,1180.17,UK,2360.34,2022,2,Feb
168755,2022-02-08,2158,Headphones,Electronics,1.0,1231.0,Germany,1231.0,2022,2,Feb
180782,2022-02-09,2203,Unknown,Fashion,2.0,1228.81,Nigeria,2457.62,2022,2,Feb
190535,2022-02-10,2135,Watch,Electronics,1.0,495.08,USA,495.08,2022,2,Feb
181857,2022-02-11,2179,Watch,Accessories,1.0,137.4,France,137.4,2022,2,Feb
152489,2022-02-12,2244,Laptop,Accessories,4.0,227.34,France,909.36,2022,2,Feb
184665,2022-02-13,2073,Unknown,Accessories,4.0,237.39,Nigeria,949.56,2022,2,Feb
141504,2022-02-14,2168,Phone,Electronics,1.0,1008.28,Nigeria,1008.28,2022,2,Feb
149866,2022-02-15,2243,Shoes,Fashion,4.0,839.65,Germany,3358.6,2022,2,Feb
184212,2022-02-16,2021,Headphones,Electronics,2.0,275.62,UK,551.24,2022,2,Feb
111723,2022-02-18,2143,Shoes,Electronics,1.0,765.09,France,765.09,2022,2,Feb
117591,2022-02-20,2273,Shoes,Fashion,1.0,875.94,UK,875.94,2022,2,Feb
158146,2022-02-21,2266,Shoes,Fashion,3.0,568.88,France,1706.6399999999999,2022,2,Feb
192288,2022-02-22,2145,Shoes,Electronics,1.0,1424.35,USA,1424.35,2022,2,Feb
159300,2022-02-23,2131,Phone,Electronics,1.0,756.36,USA,756.36,2022,2,Feb
189141,2022-02-24,2073,Bag,Electronics,2.0,1293.02,UK,2586.04,2022,2,Feb
171557,2022-02-25,2285,Unknown,Electronics,2.0,665.3,France,1330.6,2022,2,Feb
120006,2022-02-26,2195,Unknown,Electronics,1.0,27.37,Unknown,27.37,2022,2,Feb
103560,2022-02-27,2226,Phone,Electronics,1.0,905.19,France,905.19,2022,2,Feb
190868,2022-02-28,2132,Unknown,Electronics,1.0,1204.63,USA,1204.63,2022,2,Feb
161713,2022-03-01,2100,Watch,Fashion,1.0,429.35,UK,429.35,2022,3,Mar
196591,2022-03-02,2134,Unknown,Accessories,2.0,1060.99,USA,2121.98,2022,3,Mar
146522,2022-03-04,2081,Headphones,Electronics,2.0,534.28,Nigeria,1068.56,2022,3,Mar
186904,2022-03-05,2119,Shoes,Electronics,1.0,94.89,UK,94.89,2022,3,Mar
120737,2022-03-06,2245,Phone,Electronics,1.0,536.72,Germany,536.72,2022,3,Mar
161353,2022-03-08,2119,Headphones,Fashion,2.0,1194.7,Unknown,2389.4,2022,3,Mar
192217,2022-03-09,2283,Phone,Fashion,2.0,1264.24,USA,2528.48,2022,3,Mar
112134,2022-03-11,2078,Laptop,Electronics,3.0,1151.22,UK,3453.66,2022,3,Mar
160535,2022-03-12,2086,Phone,Fashion,1.0,1251.22,Germany,1251.22,2022,3,Mar
147883,2022-03-13,2095,Phone,Electronics,1.0,1230.35,Unknown,1230.35,2022,3,Mar
186107,2022-03-14,2008,Laptop,Electronics,2.0,335.37,USA,670.74,2022,3,Mar
163360,2022-03-15,2285,Shoes,Fashion,3.0,1062.35,France,3187.0499999999997,2022,3,Mar
151811,2022-03-16,2156,Watch,Electronics,3.0,1494.69,France,4484.07,2022,3,Mar
109781,2022-03-17,2186,Headphones,Electronics,1.0,221.93,USA,221.93,2022,3,Mar
119340,2022-03-18,2111,Phone,Fashion,2.0,1104.47,Unknown,2208.94,2022,3,Mar
127257,2022-03-19,2144,Watch,Electronics,3.0,1383.65,USA,4150.950000000001,2022,3,Mar
116298,2022-03-20,2059,Unknown,Accessories,1.0,979.35,France,979.35,2022,3,Mar
112372,2022-03-21,2247,Shoes,Fashion,2.0,516.3,Nigeria,1032.6,2022,3,Mar
104420,2022-03-22,2007,Bag,Fashion,2.0,1009.81,UK,2019.62,2022,3,Mar
162079,2022-03-24,2212,Phone,Fashion,1.0,1403.33,USA,1403.33,2022,3,Mar
179860,2022-03-25,2235,Headphones,Accessories,1.0,1300.1,USA,1300.1,2022,3,Mar
107012,2022-03-26,2075,Shoes,Fashion,1.0,836.99,France,836.99,2022,3,Mar
109396,2022-03-27,2221,Watch,Electronics,2.0,859.89,Unknown,1719.78,2022,3,Mar
103918,2022-03-28,2040,Watch,Fashion,1.0,1439.42,UK,1439.42,2022,3,Mar
109359,2022-03-29,2000,Laptop,Electronics,3.0,995.19,USA,2985.57,2022,3,Mar
144259,2022-03-30,2212,Phone,Unknown,2.0,35.23,USA,70.46,2022,3,Mar
123482,2022-03-31,2109,Headphones,Electronics,2.0,419.15,USA,838.3,2022,3,Mar
115127,2022-04-01,2092,Shoes,Electronics,1.0,588.81,USA,588.81,2022,4,Apr
137237,2022-04-02,2205,Shoes,Fashion,1.0,732.76,Nigeria,732.76,2022,4,Apr
179701,2022-04-03,2165,Laptop,Electronics,3.0,458.98,UK,1376.94,2022,4,Apr
108752,2022-04-04,2061,Bag,Accessories,2.0,325.57,UK,651.14,2022,4,Apr
180041,2022-04-05,2103,Watch,Electronics,1.0,1067.33,Nigeria,1067.33,2022,4,Apr
171331,2022-04-06,2068,Phone,Fashion,2.0,257.91,France,515.82,2022,4,Apr
150624,2022-04-07,2185,Shoes,Accessories,4.0,141.18,Germany,564.72,2022,4,Apr
189183,2022-04-08,2132,Unknown,Accessories,4.0,618.02,UK,2472.08,2022,4,Apr
140133,2022-04-09,2105,Shoes,Accessories,3.0,1216.74,France,3650.2200000000003,2022,4,Apr
155153,2022-04-11,2165,Bag,Fashion,1.0,358.41,USA,358.41,2022,4,Apr
162756,2022-04-12,2222,Shoes,Fashion,4.0,404.01,USA,1616.04,2022,4,Apr
181757,2022-04-14,2128,Shoes,Electronics,3.0,116.07,UK,348.21,2022,4,Apr
184355,2022-04-15,2049,Bag,Electronics,2.0,122.58,USA,245.16,2022,4,Apr
